IncidentNum,ReportedDateTime,ReportedYear,ReportedMonth,Location,WeaponUsed,ALD,NSP,POLICE,TRACT,WARD,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
P2C24110007,2024-10-31 22:00:00,2024,10,2401 W WISCONSIN AV,,4,14,3,14900,192,53233,2549933.62079565,385114.609159365,0,0,0,0,0,0,0,0,1,0
C2410310161,2024-10-31 21:15:00,2024,10,3551 N TEUTONIA AV,FIREARM,6,4,5,4600,109,53206,2551593.96604807,401518.027716003,0,1,0,0,0,0,0,0,0,0
C2410310119,2024-10-31 17:19:00,2024,10,4526 W CAPITOL DR,FIREARM,7,1,7,4000,63,53216,2541927.94295355,403926.387062144,0,1,0,0,0,0,0,0,0,0
P2C24110009,2024-10-31 11:30:00,2024,10,110 E GREENFIELD AV,,12,16,2,16500,223,53204,2558796.10560223,377675.855885111,0,0,0,0,0,1,0,0,0,0
P2C24100318,2024-10-31 04:00:00,2024,10,1165 N 44TH ST,,10,,3,12400,198,53208,2542742.09142472,387819.172354966,0,0,0,0,0,1,0,0,0,0
P2C24110003,2024-10-31 01:00:00,2024,10,3062 N CAMBRIDGE AV,,3,,1,7300,124,53211,2563342.40975859,398631.345430829,0,0,0,0,0,1,0,0,0,0
P2C24110002,2024-10-30 22:00:00,2024,10,3547 S 2ND ST,,13,,6,18500,281,53207,2558401.89336801,364232.120366462,0,0,0,1,0,0,0,0,0,0
P2C24110004,2024-10-30 17:00:00,2024,10,1817 W LINCOLN AV,,12,17,2,18800,247,53215,2552223.99373898,372053.339315645,0,0,0,1,0,0,0,0,0,0
C2410300125,2024-10-30 16:05:00,2024,10,1829 N 32ND ST,,15,11,3,9700,146,53208,2546739.76906349,391249.164117657,0,1,0,0,0,0,0,0,0,0
C2410300167,2024-10-30 16:00:00,2024,10,5535 N 33RD ST,,1,2,4,2100,50,53209,2546295.35838446,414237.043476827,0,1,0,0,0,0,0,0,0,0
C2410300118,2024-10-30 15:15:00,2024,10,2400 N 14TH ST,HANDGUN,15,10,3,185500,140,53206,2553147.87692408,394154.802485757,0,1,0,0,0,0,0,0,0,0
C2410300096,2024-10-30 13:30:00,2024,10,1546 S 23RD ST,HANDGUN,8,15,2,16300,220,53204,2550312.56843364,376712.466532115,0,0,0,1,0,0,0,0,0,0
C2410300074,2024-10-30 12:15:00,2024,10,5729 N 95TH ST,FIREARM,2,19,4,502,31,53225,2525605.3414772,414884.384918276,0,1,0,0,0,0,0,0,0,0
C2410300085,2024-10-30 12:00:00,2024,10,2835 N 25TH ST,,15,9,5,8800,143,53206,2549116.83530975,396919.931641456,0,1,0,0,0,0,0,0,0,0
P2C24100321,2024-10-30 10:40:00,2024,10,3314 W LAPHAM ST,,8,15,2,16100,213,53215,2546699.65845045,376299.51146815,0,0,0,0,0,1,0,0,0,0
P2C24100316,2024-10-30 10:15:00,2024,10,809 S 38TH ST,,8,15,2,16000,210,53215,2545180.10835102,379237.573316257,0,0,0,1,0,0,0,0,0,0
C2410300067,2024-10-30 07:00:00,2024,10,5651 N 96TH ST,PERSONAL WEAPON,2,19,4,502,31,53225,2525391.71251886,414624.001384459,0,1,0,0,0,0,0,0,0,0
P2C24110001,2024-10-30 01:00:00,2024,10,4221 S 6TH ST,,13,,6,21200,293,53221,2555553.40737625,359764.789678507,0,0,0,1,0,0,0,0,0,0
C2410300004,2024-10-30 00:25:00,2024,10,822 W VLIET ST,FIREARM,6,13,5,14100,172,53205,2555667.8113371,389568.652951732,0,1,0,0,0,0,0,0,0,0
C2410290187,2024-10-29 22:59:00,2024,10,600 S WATER ST,"ASPHYXIATION,PERSONAL WEAPON",12,16,2,186500,230,53204,2560382.62383346,380701.541328836,0,1,0,0,0,0,0,0,0,0
P2C24100315,2024-10-29 22:00:00,2024,10,551 W RING ST,,6,6,5,6700,117,53212,2556080.33941875,399603.40930051,0,0,0,1,0,0,0,0,0,0
C2410290173,2024-10-29 21:40:00,2024,10,400 W VIENNA AV,HANDGUN,6,6,5,4400,115,53212,2556963.270352,402587.058880329,0,1,0,0,0,0,0,0,0,0
P2C24100307,2024-10-29 18:00:00,2024,10,8518 W CAPITOL DR,,5,,7,3400,76,53222,2528990.915531,403465.070771474,0,0,0,1,0,0,0,0,0,0
C2410290010,2024-10-29 00:00:00,2024,10,1659 N WARREN AV,"ASPHYXIATION,PERSONAL WEAPON",3,,1,11000,178,53202,2562732.65374277,390630.361286238,0,1,0,0,0,0,0,0,0,0
P2C24100324,2024-10-28 23:00:00,2024,10,3449 S 2ND ST,,14,,6,18500,283,53207,2558283.06532628,364536.108143002,0,0,0,1,0,0,0,0,0,0
C2410280217,2024-10-28 22:37:00,2024,10,2707 W BURLEIGH ST,FIREARM,7,4,5,6300,102,53216,2548310.36714669,398626.217575498,0,1,0,0,0,0,0,0,0,0
C2410290123,2024-10-28 19:30:00,2024,10,8030 N 94TH ST,,9,,4,202,6,53224,2525398.76421412,430105.773937698,0,0,0,0,0,0,0,0,0,1
C2410280195,2024-10-28 19:00:00,2024,10,9001 N 75TH ST,"OTHER,BLUNT OBJECT",9,,4,101,4,53223,2532758.03034306,437349.676753279,0,1,0,0,0,0,0,0,0,0
C2410280160,2024-10-28 18:30:00,2024,10,945 N 12TH ST,PERSONAL WEAPON,4,12,3,14600,186,53233,2553852.85986361,387085.864637952,0,1,0,0,0,0,0,0,0,0
P2C24110018,2024-10-28 18:00:00,2024,10,1857 E KENILWORTH PL,,3,,1,10800,131,53202,2564682.38076028,393359.302095141,0,0,0,0,0,0,0,0,1,0
C2410280168,2024-10-28 17:30:00,2024,10,1747 N 12TH ST,FIREARM,15,10,3,185900,140,53205,2553897.28925908,390997.922712676,0,1,0,0,0,0,0,0,0,0
C2410280175,2024-10-28 17:00:00,2024,10,5445 N 83RD ST,FIREARM,2,,4,1600,37,53218,2529890.25017153,413363.541188385,0,1,0,0,0,0,0,0,0,0
C2410290102,2024-10-28 16:00:00,2024,10,4762 N 103RD ST,OTHER,5,,4,501,35,53225,2523208.0466699,408653.310415585,0,1,0,0,0,0,0,0,0,0
P2C24100311,2024-10-28 16:00:00,2024,10,808 N OLD WORLD THIRD ST,,4,,1,186300,185,53203,2557599.92704016,386068.830291249,0,0,0,0,0,0,0,0,1,0
C2410280079,2024-10-28 11:06:00,2024,10,7147 W BURLEIGH ST,FIREARM,10,,7,5800,89,53210,2533919.7770887,398319.082395565,0,1,0,0,0,0,0,0,0,0
C2410280075,2024-10-28 11:01:00,2024,10,1600 W FOREST HOME AV,FIREARM,12,15,2,16900,225,53204,2552776.81869838,374686.475997165,0,0,0,0,1,0,0,0,0,0
P2C24100305,2024-10-28 10:00:00,2024,10,505 N 22ND ST,,4,14,3,14900,192,53233,2550430.94171286,384422.253220219,0,0,0,0,0,1,0,0,0,0
C2410280047,2024-10-28 07:38:00,2024,10,1923 W BECHER ST,,12,17,2,17400,247,53215,2551490.43213143,373460.109591708,0,0,0,0,0,0,0,0,0,1
P2C24100308,2024-10-28 07:30:00,2024,10,5700 W CAPITOL DR,,2,,7,3600,67,53216,2538345.44673927,403749.948789492,0,0,0,0,0,1,0,0,0,0
C2410280090,2024-10-28 07:00:00,2024,10,300 E OGDEN AV,,4,,1,11300,162,53202,2559015.01261682,389058.89470692,0,0,0,0,0,0,0,0,0,1
C2410280045,2024-10-28 06:50:00,2024,10,5013 N 106TH ST,PERSONAL WEAPON,5,,4,501,35,53225,2522153.48978962,410240.844150681,0,1,0,0,0,0,0,0,0,0
C2410280014,2024-10-28 01:00:00,2024,10,5330 N 36TH ST,PERSONAL WEAPON,1,2,4,2100,49,53209,2545322.60424976,412859.052909903,0,1,0,0,0,0,0,0,0,0
C2410280017,2024-10-28 01:00:00,2024,10,6446 N 42ND ST,PERSONAL WEAPON,1,,4,800,19,53209,2543254.60943754,420246.003742043,0,1,0,0,0,0,0,0,0,0
P2C24100293,2024-10-28 01:00:00,2024,10,1503 N HUMBOLDT AV,,4,,1,11000,162,53202,2561680.49366203,389513.625722397,0,0,0,1,0,0,0,0,0,0
C2410280004,2024-10-28 00:09:00,2024,10,4122 N 17TH ST,FIREARM,1,4,5,4300,56,53209,2552365.45567848,404826.855714023,0,1,0,0,0,0,0,0,0,0
P2C24100314,2024-10-27 23:00:00,2024,10,6660 S 17TH ST,,13,,6,21700,314,53221,2552613.46992836,343670.677795488,0,0,0,0,0,1,0,0,0,0
C2410280029,2024-10-27 22:59:00,2024,10,1015 N 10TH ST,PERSONAL WEAPON,4,,1,186300,184,53233,2554660.18322262,387534.579371572,0,1,0,0,0,0,0,0,0,0
C2410270186,2024-10-27 22:30:00,2024,10,7927 W BENDER AV,,2,2,4,1400,318,53218,2531059.42586107,419022.409976359,0,1,0,0,0,0,0,0,0,0
P2C24100284,2024-10-27 22:00:00,2024,10,3449 N 53RD ST,,7,5,7,5000,94,53216,2539731.56080756,400861.428969141,0,0,0,0,0,1,0,0,0,0
C2410280044,2024-10-27 21:00:00,2024,10,5606 W PHILIP PL,,7,5,7,5000,93,53216,2538654.90869828,400090.988959361,0,0,0,0,0,0,0,0,0,1
C2410270181,2024-10-27 21:00:00,2024,10,2913 N HACKETT AV,,3,,1,7500,128,53211,2567289.08587772,397651.523727555,0,0,0,0,0,0,0,0,0,1
C2410290009,2024-10-27 21:00:00,2024,10,,PERSONAL WEAPON,5,,7,5400,321,53222,2528215.05934807,402133.356633294,0,0,0,0,0,0,0,1,0,0
C2410290175,2024-10-27 21:00:00,2024,10,2714 N 39TH ST,"FIREARM,PERSONAL WEAPON",15,5,7,6200,149,53210,2544513.38864654,396000.541281149,0,1,0,0,0,0,0,0,0,0
C2410280070,2024-10-27 20:00:00,2024,10,3946 N 25TH ST,PERSONAL WEAPON,6,4,5,4700,104,53206,2548986.85391056,403606.173421111,0,1,0,0,0,0,0,0,0,0
C2410270182,2024-10-27 19:00:00,2024,10,2909 N 47TH ST,,7,5,7,4900,100,53210,2541643.12922653,397136.442472074,0,0,0,0,0,0,0,0,0,1
C2410270176,2024-10-27 19:00:00,2024,10,2200 N 31ST ST,,15,11,3,9800,146,53208,2547100.73918597,392784.026336525,0,0,0,0,0,0,0,0,0,1
C2410280009,2024-10-27 19:00:00,2024,10,1332 W ARTHUR AV,PERSONAL WEAPON,12,17,2,17500,244,53215,2553760.13294036,371144.754164115,0,1,0,0,0,0,0,0,0,0
P2C24100292,2024-10-27 18:18:00,2024,10,224 W BRUCE ST,,12,16,2,186500,230,53204,2557856.50376881,380654.010508586,0,0,0,0,0,1,0,0,0,0
C2410270130,2024-10-27 17:00:00,2024,10,1335 S LAYTON BL,PERSONAL WEAPON,8,15,2,16200,215,53215,2548682.43510108,377389.982969906,0,1,0,0,0,0,0,0,0,0
C2410270146,2024-10-27 17:00:00,2024,10,5444 N LOVERS LANE RD,,5,,4,501,33,53225,2519249.12821187,413206.776251044,0,0,0,0,0,0,0,0,0,1
C2410270112,2024-10-27 14:30:00,2024,10,2147 S 25TH ST,PERSONAL WEAPON,8,17,2,17300,218,53215,2549615.91120468,373302.117177997,0,1,0,0,0,0,0,0,0,0
C2410270106,2024-10-27 14:13:00,2024,10,4057 N 48TH ST,,7,1,7,4000,66,53216,2541287.05326959,404271.476979513,1,0,0,0,0,0,0,0,0,0
C2410280031,2024-10-27 13:27:00,2024,10,6140 W PORT AV,,9,,4,700,14,53223,2536640.84600375,428720.496523704,0,0,0,0,0,1,0,0,0,0
C2410270085,2024-10-27 11:15:00,2024,10,5845 N 79TH ST,FIREARM,2,2,4,1500,27,53218,2531328.65113212,416072.64104921,0,1,0,0,0,0,0,0,0,0
P2C24100298,2024-10-27 11:00:00,2024,10,224 W BRUCE ST,,12,16,2,186500,230,53204,2557856.50376881,380654.010508586,0,0,0,1,0,0,0,0,0,0
P2C24100288,2024-10-27 10:00:00,2024,10,6833 W FOND DU LAC AV,,2,,7,3000,41,53218,2534877.65934334,409588.872312035,0,0,0,0,0,1,0,0,0,0
C2410270091,2024-10-27 09:30:00,2024,10,524 W HISTORIC MITCHELL ST,,12,16,2,16600,232,53204,2556890.41865716,375901.239668526,0,0,0,0,0,0,0,0,0,1
C2410270036,2024-10-27 02:32:00,2024,10,1702 N HUMBOLDT AV,"PERSONAL WEAPON,MOTOR VEHICLE",3,,1,11200,174,53202,2561766.64269687,390870.4669259,0,1,0,0,0,0,0,0,0,0
C2410270042,2024-10-27 01:49:00,2024,10,4575 N 45TH ST,PERSONAL WEAPON,7,1,7,2700,64,53218,2542306.22832248,407621.709229451,0,1,0,0,0,0,0,0,0,0
C2410270084,2024-10-27 01:00:00,2024,10,3804 W BURLEIGH ST,POISON,7,5,7,4800,101,53216,2544706.34972081,398527.902379148,0,1,0,0,0,0,0,0,0,0
P2C24100290,2024-10-27 01:00:00,2024,10,3411 W CLYBOURN ST,,10,14,3,13400,193,53208,2546183.76818142,384330.079234008,0,0,0,1,0,0,0,0,0,0
P2C24100313,2024-10-27 00:00:00,2024,10,4928 N 90TH ST,,5,,7,1700,36,53225,2527484.05679791,409884.793955639,0,0,0,1,0,0,0,0,0,0
P2C24100323,2024-10-27 00:00:00,2024,10,321 N JEFFERSON ST,,4,,1,187400,182,53202,2560016.79312888,384313.310869656,0,0,0,0,0,0,0,0,1,0
C2410270147,2024-10-27 00:00:00,2024,10,3855 N 68TH ST,HANDGUN,10,,7,5100,88,53216,2535015.42251397,402766.375204448,0,1,0,0,0,0,0,0,0,0
C2410270012,2024-10-27 00:00:00,2024,10,369 E OKLAHOMA AV,,14,,6,18400,347,53207,2560532.27149766,367236.194816798,0,0,0,0,0,0,0,0,0,1
C2410280060,2024-10-26 23:00:00,2024,10,1956 N BARTLETT AV,,3,,1,10800,175,53202,2563597.70915092,392517.319006227,0,0,0,0,0,1,0,0,0,0
C2410260169,2024-10-26 22:05:00,2024,10,6929 W SILVER SPRING DR,NONE,2,2,4,1800,42,53218,2534401.48831112,414074.240166724,0,1,0,0,0,0,0,0,0,0
P2C24100289,2024-10-26 22:00:00,2024,10,1640 N WATER ST,,3,,1,11300,179,53202,2559693.26066598,390276.982904654,0,0,0,1,0,0,0,0,0,0
C2410260159,2024-10-26 20:50:00,2024,10,7084 N 42ND ST,,1,,4,900,19,53209,2543253.30101606,424565.286197435,0,1,0,0,0,0,0,0,0,0
C2410280096,2024-10-26 19:30:00,2024,10,6891 N 60TH ST,FIREARM,9,,4,600,13,53223,2537462.95262692,423272.815935269,0,1,0,0,0,0,0,0,0,0
P2C24100302,2024-10-26 18:45:00,2024,10,2619 N 59TH ST,,10,5,3,5900,161,53210,2538072.32598042,395247.745359708,0,0,0,0,0,0,0,0,1,0
C2410260111,2024-10-26 16:40:00,2024,10,4038 N 18TH ST,FIREARM,1,4,5,4300,56,53209,2552054.02109449,404276.338177897,0,0,0,0,1,0,0,0,0,0
C2410280080,2024-10-26 16:30:00,2024,10,7147 W BURLEIGH ST,HANDGUN,10,,7,5800,89,53210,2533919.7770887,398319.082395565,0,1,0,0,0,0,0,0,0,0
C2410260108,2024-10-26 15:30:00,2024,10,9045 N 84TH ST,HANDGUN,9,,4,101,3,53223,2529761.05734144,437517.669159122,0,1,0,0,0,0,0,0,0,0
C2410260084,2024-10-26 15:29:00,2024,10,2656 N 48TH ST,HANDGUN,15,5,3,6000,155,53210,2541440.95790354,395582.884074893,0,0,0,0,1,0,0,0,0,0
C2410260083,2024-10-26 13:48:00,2024,10,2502 N 45TH ST,HANDGUN,15,5,3,6100,155,53210,2542510.7428056,394486.502545569,0,1,0,1,0,0,0,0,0,0
C2410260085,2024-10-26 13:30:00,2024,10,9112 W LISBON AV,PERSONAL WEAPON,5,,7,5400,82,53222,2527228.21245259,401495.913480207,0,1,0,0,0,0,0,0,0,0
P2C24100312,2024-10-26 13:29:00,2024,10,9575 W FOND DU LAC AV,,2,19,4,502,32,53225,2525297.1475091,418859.834875137,0,0,0,0,0,0,0,0,1,0
C2410290124,2024-10-26 12:15:00,2024,10,,PERSONAL WEAPON,7,4,5,6300,103,53216,2547645.0351914,399262.562850885,0,0,0,0,0,0,0,1,0,0
C2410260066,2024-10-26 12:03:00,2024,10,1102 W ATKINSON AV,FIREARM,6,4,5,4500,111,53206,2554362.1982777,402315.20929179,0,0,0,0,1,0,0,0,0,0
C2410260061,2024-10-26 10:50:00,2024,10,4248 N 62ND ST,PERSONAL WEAPON,2,,7,3500,67,53216,2537007.27798075,405452.197523087,0,1,0,0,0,0,0,0,0,0
P2C24100300,2024-10-26 07:00:00,2024,10,1530 W STATE ST,,4,12,3,14600,188,53233,2552642.82505482,387061.678910907,0,0,0,0,0,0,0,0,1,0
C2410260026,2024-10-26 04:19:00,2024,10,6303 W LOCUST ST,,10,5,7,5000,160,53210,2536802.09743772,397056.934614379,0,1,0,0,0,0,0,0,0,0
C2410260022,2024-10-26 03:20:00,2024,10,4110 N 27TH ST,FIREARM,1,4,5,4100,60,53216,2548370.67289483,404664.085611757,0,1,0,0,0,0,0,0,0,0
C2410260028,2024-10-26 02:28:00,2024,10,3326 S ELLEN ST,,14,,6,20800,287,53207,2566066.90510728,365537.461696129,0,0,0,0,0,0,0,0,0,1
P2C24100301,2024-10-26 01:45:00,2024,10,1323 E BRADY ST,,3,,1,11200,174,53202,2562649.86303955,390858.512044627,0,0,0,0,0,0,0,0,1,0
C2410260020,2024-10-26 00:43:00,2024,10,3526 W SILVER SPRING DR,FIREARM,1,,4,1000,20,53209,2545309.93860231,414699.005542308,0,1,0,0,0,0,0,0,0,0
C2410260093,2024-10-26 00:01:00,2024,10,3707 W STATE ST,FIREARM,15,14,3,12300,197,53208,2545306.0610926,386912.251354132,0,1,0,0,0,0,0,0,0,0
P2C24100287,2024-10-26 00:00:00,2024,10,906 S 17TH ST,,12,15,2,15800,305,53204,2552385.66197511,379264.863686901,0,0,0,1,0,0,0,0,0,0
P2C24100285,2024-10-26 00:00:00,2024,10,503 N PLANKINTON AV,,4,,1,186300,183,53203,2558262.9578539,384563.746173553,0,0,0,1,0,0,0,0,0,0
C2410250167,2024-10-25 23:29:00,2024,10,5284 N 82ND CT,PERSONAL WEAPON,2,,4,1600,40,53218,2530459.79128102,412298.926827777,0,1,0,0,0,0,0,0,0,0
P2C24100277,2024-10-25 23:15:00,2024,10,1120 S BARCLAY ST,,12,16,2,16500,223,53204,2558937.43679828,378631.390816528,0,0,0,1,0,0,0,0,0,0
P2C24100276,2024-10-25 23:10:00,2024,10,3902 W ORCHARD ST,,8,15,2,16100,212,53215,2544865.39229105,376936.47525239,0,0,0,1,0,0,0,0,0,0
P2C24100278,2024-10-25 23:00:00,2024,10,315 S WATER ST,,12,,1,187400,230,53204,2559635.51539711,381764.084792715,0,0,0,0,0,1,0,0,0,0
P2C24100279,2024-10-25 23:00:00,2024,10,1120 S BARCLAY ST,,12,16,2,16500,223,53204,2558937.43679828,378631.390816528,0,0,0,1,0,0,0,0,0,0
P2C24100280,2024-10-25 23:00:00,2024,10,3409 S GRIFFIN AV,,14,,6,20600,285,53207,2560705.96600286,365104.857804649,0,0,0,0,0,1,0,0,0,0
P2C24100291,2024-10-25 23:00:00,2024,10,3902 W ORCHARD ST,,8,15,2,16100,212,53215,2544865.39229105,376936.47525239,0,0,0,0,0,1,0,0,0,0
P2C24100306,2024-10-25 23:00:00,2024,10,2553 S 44TH ST,,11,,6,19000,253,53219,2543449.72728284,370274.544316322,0,0,0,0,0,1,0,0,0,0
C2410270099,2024-10-25 23:00:00,2024,10,1335 S LAYTON BL,PERSONAL WEAPON,8,15,2,16200,215,53215,2548811.76691304,377664.249465276,0,1,0,0,0,0,0,0,0,0
C2410270100,2024-10-25 23:00:00,2024,10,1335 S LAYTON BL,BLUNT OBJECT,8,15,2,16200,215,53215,2548811.76691304,377664.249465276,0,1,0,0,0,0,0,0,0,0
P2C24100286,2024-10-25 22:00:00,2024,10,3812 S PINE AV,,14,,6,20700,284,53207,2562106.23017132,362532.233398195,0,0,0,1,0,0,0,0,0,0
P2C24100275,2024-10-25 21:30:00,2024,10,500 W VIRGINIA ST,,12,16,2,186500,230,53204,2556978.98198307,381043.133844566,0,0,0,0,0,1,0,0,0,0
P2C24100299,2024-10-25 21:30:00,2024,10,1110 N MARTIN L KING JR DR,,4,,1,186300,185,53203,2557583.88104897,387579.020516165,0,0,0,0,0,0,0,0,1,0
C2410270077,2024-10-25 21:00:00,2024,10,7318 W FERNWOOD CR,,11,,6,19600,259,53219,2534274.56803645,365856.744496834,0,0,0,0,0,0,0,0,0,1
P2C24100296,2024-10-25 20:00:00,2024,10,2815 N LEFEBER AV,,10,,7,5800,90,53210,2533500.83174125,396312.83780662,0,0,0,0,0,0,0,0,1,0
C2410250143,2024-10-25 18:55:00,2024,10,6141 W LISBON AV,FIREARM,10,5,7,5900,160,53210,2537028.41684249,396275.122497797,0,1,0,0,0,0,0,0,0,0
P2C24100297,2024-10-25 18:20:00,2024,10,224 W WASHINGTON ST,,12,16,2,186500,223,53204,2558005.95048902,378770.733742535,0,0,0,0,0,0,0,0,1,0
C2410260050,2024-10-25 16:00:00,2024,10,4203 S LENOX ST,,14,,6,20900,290,53207,2562389.50013254,359929.420667347,0,0,0,0,0,0,0,0,0,1
P2C24100282,2024-10-25 14:00:00,2024,10,1201 N EDISON ST,,4,,1,11300,158,53202,2558016.85941799,388277.818937845,0,0,0,1,0,0,0,0,0,0
C2410250126,2024-10-25 12:52:00,2024,10,4802 W MILL RD,HANDGUN,9,,4,800,17,53218,2540982.6247474,419852.192242753,0,1,0,0,0,0,0,0,0,0
C2410250164,2024-10-25 12:30:00,2024,10,3946 N 36TH ST,,7,5,7,3900,98,53216,2545349.55919381,403502.85979617,0,0,0,0,0,0,0,0,1,0
C2410250062,2024-10-25 11:10:00,2024,10,1918 S 29TH ST,,8,15,2,17000,216,53215,2548182.13399673,374851.534354024,0,0,0,0,0,0,0,0,0,1
P2C24100281,2024-10-25 09:50:00,2024,10,5588 N 60TH ST,,2,2,4,1900,44,53218,2537669.77247752,414382.148870274,0,0,0,0,0,1,0,0,0,0
C2410250141,2024-10-25 06:00:00,2024,10,2324 S 17TH ST,,12,17,2,18800,247,53215,2552496.36524209,372169.291064974,0,0,0,0,0,0,0,0,0,1
P2C24100270,2024-10-25 02:00:00,2024,10,500 W FLORIDA ST,,12,,1,187400,230,53204,2556839.37792861,381391.173804201,0,0,0,1,0,0,0,0,0,0
C2410250008,2024-10-25 00:20:00,2024,10,3415 N 58TH ST,"PERSONAL WEAPON,ASPHYXIATION",7,5,7,5000,93,53216,2537976.56075235,400423.481625412,0,1,0,0,0,0,0,0,0,0
C2410250067,2024-10-25 00:00:00,2024,10,2841 S 5TH CT,,14,,6,18500,280,53207,2557406.07634828,368533.114817027,0,0,0,0,0,0,0,0,0,1
P2C24100272,2024-10-25 00:00:00,2024,10,4881 N 104TH ST,,5,,4,501,35,53225,2522823.86817841,409464.446053818,0,0,0,0,0,1,0,0,0,0
P2C24100283,2024-10-25 00:00:00,2024,10,422 S 4TH ST,,12,16,2,186500,230,53204,2557474.08348037,381026.12843293,0,0,0,1,0,0,0,0,0,0
P2C24100322,2024-10-24 22:00:00,2024,10,731 N JACKSON ST,,4,,1,14400,141,53202,2560297.52980295,385921.381990969,0,0,0,0,0,1,0,0,0,0
C2410240159,2024-10-24 21:12:32,2024,10,5720 N 32ND ST,HANDGUN,1,,4,1000,20,53209,2546596.55923651,415449.755898494,0,1,0,0,0,0,0,0,0,0
C2410250007,2024-10-24 21:00:00,2024,10,5301 N TEUTONIA AV,,1,2,4,2100,50,53209,2546959.87692858,412595.522187863,0,0,0,0,0,0,0,0,0,1
C2410250045,2024-10-24 20:00:00,2024,10,1618 S 25TH ST,,8,15,2,17000,217,53204,2549579.225399,376213.200783376,0,0,0,0,0,0,0,0,0,1
P2C24100274,2024-10-24 18:30:00,2024,10,2136 N COMMERCE ST,,3,7,5,10700,133,53212,2562207.59989946,392857.576800559,0,0,0,1,0,0,0,0,0,0
P2C24100271,2024-10-24 18:15:00,2024,10,732 N JEFFERSON ST,,4,,1,14400,141,53202,2559965.20525365,385854.164469,0,0,0,0,0,1,0,0,0,0
C2410240129,2024-10-24 17:39:00,2024,10,1215 N 10TH ST,,4,13,1,14100,184,53205,2554679.90308641,388037.248920873,0,0,0,0,0,0,0,0,0,1
C2410240137,2024-10-24 17:30:00,2024,10,1464 N 17TH ST,PERSONAL WEAPON,15,12,3,186200,170,53205,2552480.46689951,389009.282971472,0,1,0,0,0,0,0,0,0,0
C2410240146,2024-10-24 17:30:00,2024,10,3615 W NATIONAL AV,LETHAL CUTTING INSTRUMENT,8,15,2,16000,210,53215,2545653.5478229,378970.764184743,0,1,0,0,0,0,0,0,0,0
C2410240073,2024-10-24 12:50:00,2024,10,4524 W ROOSEVELT DR,FIREARM,7,5,7,3800,97,53216,2542038.28630606,401771.075447164,0,1,0,0,0,0,0,0,0,0
C2410240110,2024-10-24 12:00:00,2024,10,1439 S 5TH ST,PERSONAL WEAPON,12,16,2,16500,232,53204,2557008.73576116,377266.152096257,0,1,0,0,0,0,0,0,0,0
